strategy,mean_rank,z,p_raw,p_hochberg
cluster-k5,5.36484593837535,0.3522816603515068,0.7246270406299637,0.7246270406299637
portfolio,5.3767507002801125,0.45734812045635004,0.6474208473686707,0.7246270406299637
topk,5.389355742296919,0.5685949605673521,0.5696310455481939,0.7246270406299637
paper-k5,5.3956582633053225,0.6242183806228533,0.532484177311116,0.7246270406299637
greedy,5.426470588235294,0.8961551008941918,0.3701699318489853,0.7246270406299637
paper-auto,5.468487394957983,1.266977901264199,0.20516319175423892,0.7246270406299637
cluster-auto,5.5,1.5450950015417044,0.1223232858578358,0.7246270406299637
random,5.676470588235294,3.1025507630957425,0.0019186063992322477,0.015348851193857982
original,6.07703081232493,6.637728126623152,3.185540720096469e-11,2.866986648086822e-10
