strategy,rank_smape,mean_smape,median_smape,rank_mase,mean_mase,median_mase
none100:mean,5.324929971988795,13.84571184325966,8.870889365204254,5.331932773109243,3.295664831271587,0.6859668423845873
cluster-k5,5.36484593837535,13.851107402775497,8.779707125631978,5.391456582633054,0.8438510279050055,0.6941314031612694
portfolio,5.3767507002801125,13.832945622293789,8.80356721750732,5.381302521008403,0.8429114732721008,0.690390325040436
topk,5.389355742296919,13.849352205179118,8.818012329343956,5.380252100840337,0.8438267456974367,0.6923337545121404
paper-k5,5.3956582633053225,13.841553451042785,8.760078667370308,5.39250700280112,0.8434163271684536,0.6929981742885545
greedy,5.426470588235294,13.827364968049716,8.824795237369578,5.44467787114846,0.8424766703593924,0.6929210625692074
paper-auto,5.468487394957983,13.847181626450995,8.81522278506018,5.46218487394958,0.8437848917631185,0.6982790694788239
cluster-auto,5.5,13.856978247608106,8.838547509735243,5.50140056022409,0.8448285930933407,0.6987555432415655
random,5.676470588235294,13.820738546445213,8.903623351676867,5.6379551820728295,0.8409347604140227,0.6909995158963346
original,6.07703081232493,14.25303723274173,9.058903263752452,6.076330532212885,0.8600938716191366,0.7128050793334677
